GAME_DATE,HOME_TEAM,AWAY_TEAM,H2H_GAMES,H2H_HOME_WINS,H2H_AVG_MARGIN
2018-11-23,LA Clippers,Memphis Grizzlies,0,0,0.0
2018-11-23,Toronto Raptors,Washington Wizards,1,1,-4.0
2018-11-23,Atlanta Hawks,Boston Celtics,0,0,0.0
2018-11-23,New York Knicks,New Orleans Pelicans,1,0,5.0
2018-11-23,Detroit Pistons,Houston Rockets,1,0,2.0
2018-11-24,Cleveland Cavaliers,Houston Rockets,0,0,0.0
2018-11-24,Washington Wizards,New Orleans Pelicans,0,0,0.0
2018-11-24,Minnesota Timberwolves,Chicago Bulls,0,0,0.0
2018-11-24,Oklahoma City Thunder,Denver Nuggets,0,0,0.0
2018-11-24,Dallas Mavericks,Boston Celtics,0,0,0.0
2018-11-24,Milwaukee Bucks,San Antonio Spurs,0,0,0.0
2018-11-24,Golden State Warriors,Sacramento Kings,0,0,0.0
2018-11-25,Brooklyn Nets,Philadelphia 76ers,1,1,25.0
2018-11-25,Portland Trail Blazers,LA Clippers,1,1,11.0
2018-11-25,Sacramento Kings,Utah Jazz,2,1,-7.5
2018-11-25,Memphis Grizzlies,New York Knicks,0,0,0.0
2018-11-25,Detroit Pistons,Phoenix Suns,0,0,0.0
2018-11-25,Atlanta Hawks,Charlotte Hornets,1,0,11.0
2018-11-25,Los Angeles Lakers,Orlando Magic,1,0,13.0
2018-11-25,Toronto Raptors,Miami Heat,0,0,0.0
2018-11-26,Charlotte Hornets,Milwaukee Bucks,1,0,-1.0
2018-11-26,Cleveland Cavaliers,Minnesota Timberwolves,1,0,8.0
2018-11-26,Washington Wizards,Houston Rockets,0,0,0.0
2018-11-26,Chicago Bulls,San Antonio Spurs,0,0,0.0
2018-11-26,New Orleans Pelicans,Boston Celtics,0,0,0.0
2018-11-26,Utah Jazz,Indiana Pacers,1,0,27.0
2018-11-26,Golden State Warriors,Orlando Magic,0,0,0.0
2018-11-27,Denver Nuggets,Los Angeles Lakers,1,0,7.0
2018-11-27,Phoenix Suns,Indiana Pacers,0,0,0.0
2018-11-27,Miami Heat,Atlanta Hawks,1,0,5.0
2018-11-27,Detroit Pistons,New York Knicks,0,0,0.0
2018-11-27,Memphis Grizzlies,Toronto Raptors,0,0,0.0
2018-11-28,Charlotte Hornets,Atlanta Hawks,2,1,6.0
2018-11-28,Philadelphia 76ers,New York Knicks,0,0,0.0
2018-11-28,Brooklyn Nets,Utah Jazz,0,0,0.0
2018-11-28,Houston Rockets,Dallas Mavericks,0,0,0.0
2018-11-28,Milwaukee Bucks,Chicago Bulls,1,1,19.0
2018-11-28,Minnesota Timberwolves,San Antonio Spurs,1,0,4.0
2018-11-28,New Orleans Pelicans,Washington Wizards,1,0,10.0
2018-11-28,Oklahoma City Thunder,Cleveland Cavaliers,1,1,-9.0
2018-11-28,Portland Trail Blazers,Orlando Magic,1,1,-14.0
2018-11-28,LA Clippers,Phoenix Suns,0,0,0.0
2018-11-29,Los Angeles Lakers,Indiana Pacers,0,0,0.0
2018-11-29,Sacramento Kings,LA Clippers,0,0,0.0
2018-11-29,Toronto Raptors,Golden State Warriors,0,0,0.0
2018-11-30,Boston Celtics,Cleveland Cavaliers,0,0,0.0
2018-11-30,Charlotte Hornets,Utah Jazz,0,0,0.0
2018-11-30,Detroit Pistons,Chicago Bulls,1,1,-2.0
2018-11-30,Philadelphia 76ers,Washington Wizards,0,0,0.0
2018-11-30,Brooklyn Nets,Memphis Grizzlies,0,0,0.0
