GAME_ID_HOME,GAME_DATE_HOME,TEAM_NAME_HOME,TEAM_NAME_AWAY,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,FG3_PCT_HOME,FG3_PCT_AWAY,FT_PCT_HOME,FT_PCT_AWAY,REB_HOME,REB_AWAY,AST_HOME,AST_AWAY,STL_HOME,STL_AWAY,BLK_HOME,BLK_AWAY,TOV_HOME,TOV_AWAY,HOME_WIN,POINT_DIFFERENTIAL,TOTAL_POINTS
0021800132,2018-11-03,Portland Trail Blazers,Los Angeles Lakers,110,114,0.423,0.523,0.171,0.381,0.727,0.64,50,50,20,20,10,9,5,11,14,20,0,-4,224
0021800133,2018-11-04,Milwaukee Bucks,Sacramento Kings,144,109,0.484,0.442,0.393,0.389,0.909,0.5,56,44,30,24,6,6,7,4,12,15,1,35,253
0021800134,2018-11-04,Brooklyn Nets,Philadelphia 76ers,122,97,0.476,0.477,0.321,0.2,0.722,0.756,38,46,27,16,11,6,3,1,9,27,1,25,219
0021800135,2018-11-04,Washington Wizards,New York Knicks,108,95,0.434,0.419,0.231,0.185,0.769,0.75,47,51,21,19,12,5,11,5,13,18,1,13,203
0021800136,2018-11-04,Phoenix Suns,Memphis Grizzlies,102,100,0.516,0.474,0.438,0.304,0.846,0.724,37,30,25,19,7,13,3,3,24,13,1,2,202
0021800137,2018-11-04,San Antonio Spurs,Orlando Magic,110,117,0.432,0.505,0.343,0.375,0.88,0.722,43,43,25,29,3,7,5,4,11,8,0,-7,227
0021800138,2018-11-04,Portland Trail Blazers,Minnesota Timberwolves,111,81,0.442,0.312,0.25,0.233,0.875,0.762,66,38,15,18,7,9,1,4,16,11,1,30,192
0021800139,2018-11-04,Los Angeles Lakers,Toronto Raptors,107,121,0.459,0.5,0.25,0.286,0.793,0.929,38,49,25,32,6,9,4,4,16,12,0,-14,228
0021800140,2018-11-05,Detroit Pistons,Miami Heat,115,120,0.41,0.449,0.314,0.387,0.643,0.645,60,50,27,24,8,10,3,8,19,17,0,-5,235
0021800141,2018-11-05,Indiana Pacers,Houston Rockets,94,98,0.44,0.447,0.286,0.319,0.667,0.938,39,39,17,23,8,9,3,6,15,16,0,-4,192
0021800142,2018-11-05,Orlando Magic,Cleveland Cavaliers,102,100,0.448,0.513,0.324,0.435,0.867,0.667,40,42,22,20,11,8,5,2,15,18,1,2,202
0021800143,2018-11-05,New York Knicks,Chicago Bulls,115,116,0.387,0.453,0.269,0.267,0.897,0.733,62,48,20,15,7,9,6,9,17,19,0,-1,231
0021800144,2018-11-05,Oklahoma City Thunder,New Orleans Pelicans,122,116,0.484,0.488,0.37,0.31,0.71,0.833,41,45,26,27,15,8,3,5,12,20,1,6,238
0021800145,2018-11-05,Denver Nuggets,Boston Celtics,115,107,0.456,0.506,0.382,0.29,0.714,0.833,47,40,25,22,5,9,4,9,13,12,1,8,222
0021800146,2018-11-05,Utah Jazz,Toronto Raptors,111,124,0.442,0.57,0.258,0.394,0.659,0.929,40,43,29,21,10,9,4,3,12,14,0,-13,235
0021800147,2018-11-05,Golden State Warriors,Memphis Grizzlies,117,101,0.506,0.458,0.542,0.333,0.957,0.762,46,30,29,31,4,8,4,8,13,10,1,16,218
0021800148,2018-11-05,LA Clippers,Minnesota Timberwolves,120,109,0.489,0.471,0.452,0.238,0.909,0.8,43,38,30,20,5,9,4,8,12,11,1,11,229
0021800149,2018-11-06,Charlotte Hornets,Atlanta Hawks,113,102,0.489,0.482,0.419,0.2,0.556,0.778,43,37,27,22,9,13,4,9,21,22,1,11,215
